,y
2013-12-31,19.17
2014-12-31,19.323
2015-12-31,19.24
2016-12-31,19.193
2017-12-31,19.174
2018-12-31,19.166
2019-12-31,19.166
2020-12-31,19.167
2021-12-31,19.179
2022-12-31,19.189
2023-12-31,19.199
2024-12-31,19.208
2025-12-31,19.224
2026-12-31,19.237
2027-12-31,19.251
2028-12-31,19.261
2029-12-31,19.28
2030-12-31,19.295
2031-12-31,19.31
2032-12-31,19.32
2033-12-31,19.337
2034-12-31,19.348
2035-12-31,19.357
2036-12-31,19.362
2037-12-31,19.373
2038-12-31,19.379
2039-12-31,19.385
2040-12-31,19.387
2041-12-31,19.396
2042-12-31,19.402
2043-12-31,19.408
2044-12-31,19.41
2045-12-31,19.42
2046-12-31,19.426
2047-12-31,19.433
2048-12-31,19.437
2049-12-31,19.448
2050-12-31,19.457
2051-12-31,19.465
2052-12-31,19.471
2053-12-31,19.484
2054-12-31,19.494
2055-12-31,19.505
2056-12-31,19.513
2057-12-31,19.528
2058-12-31,19.54
2059-12-31,19.552
2060-12-31,19.562
2061-12-31,19.579
2062-12-31,19.594
2063-12-31,19.608
2064-12-31,19.62
2065-12-31,19.639
2066-12-31,19.654
2067-12-31,19.668
2068-12-31,19.677
2069-12-31,19.691
2070-12-31,19.7
2071-12-31,19.708
2072-12-31,19.711
2073-12-31,19.721
2074-12-31,19.727
2075-12-31,19.732
2076-12-31,19.734
2077-12-31,19.744
2078-12-31,19.749
2079-12-31,19.755
2080-12-31,19.758
2081-12-31,19.768
2082-12-31,19.775
2083-12-31,19.782
2084-12-31,19.787
2085-12-31,19.799
2086-12-31,19.808
2087-12-31,19.817
2088-12-31,19.823
2089-12-31,19.837
2090-12-31,19.848
2091-12-31,19.859
2092-12-31,19.867
2093-12-31,19.883
2094-12-31,19.896
2095-12-31,19.91
2096-12-31,19.92
2097-12-31,19.938
2098-12-31,19.954
2099-12-31,19.969
2100-12-31,19.985
2101-12-31,19.999
2102-12-31,20.013
2103-12-31,20.025
2104-12-31,20.032
2105-12-31,20.044
2106-12-31,20.051
2107-12-31,20.057
2108-12-31,20.06
2109-12-31,20.069
2110-12-31,20.074
2111-12-31,20.08
2112-12-31,20.082
2113-12-31,22.22
