,stat,p
1904-01-01,-2.2077557271771533,0.028215744181578614
1914-01-01,-1.84150420013036,0.06679209256258867
1924-01-01,-1.605101932206316,0.10979742712278427
1934-01-01,-1.3765373517901183,0.16994894010429606
1944-01-01,-1.2651397523710124,0.20705850213462954
1954-01-01,-1.2914845821993397,0.19778854549391048
1964-01-01,-1.3620501072082307,0.17446979787529546
1974-01-01,-1.1838178841302718,0.23766616233961105
1984-01-01,-0.8753715556632898,0.38225433456164315
1994-01-01,-0.20469608260666955,0.8379845272241133
